"id","titol","director","any","pais","animacio","dona","comedia","puntuacio"
"1","India Song","Marguerite Duras","1975","FRANÇA","0","1",NULL,"8"
"2","Pride And Prejudice And Zombies","Burr Steers","2016","USA","0","0",NULL,"8"
"3","Under The Skin","Jonathan Glazer","2013","UK","0","0",NULL,"9"
"4","Drive","Nicolas Winding Refn","2011","USA","0","0",NULL,"9"
"5","Spring Breakers","Fabián Bielinsky","2013","USA","0","0",NULL,"7"
"6","Psych-out","Richard Rush","1968","USA","0","0",NULL,"7"
"7","Lost In Translation","Sofia Coppola","2003","USA","0","1",NULL,"9"
"8","Project X","Nima Nourizadeh","2012","USA","0","0","1","10"
"9","La Dolce Vita","Federico Fellini","1960","ITÀLIA","0","0",NULL,"9"
"10","Lolita","Stanley Kubrick","1962","USA","0","0",NULL,"10"
"11","Quadrophenia","Franc Roddam","1979","UK","0","0",NULL,"8"
"12","Team America: World Police","Trey Parker","2004","USA","1","0","1","7"
"13","Airplane!","Abrahams, Zucker & Zucker","1980","USA","0","0","1","8"
"14","My Own Private Idaho","Gus Van Sant","1991","USA","0","0",NULL,"8"
"15","The Party","Blake Edwards","1968","UK","0","0","1","8"
"16","The Wedding Ringer","Jeremy Garelick","2015","USA","0","0","1","7"
"17","Holmes & Watson","Etan Cohen","2018","USA","0","0","1","7"
"18","Anchorman: The Legend Of Ron Burgundy","Adam McKay","2004","USA","0","0","1","8"
"19","American Hustle","David O Russell","2013","USA","0","0",NULL,"7"
"20","Sen To Chihiro No Kamikakushi","Hayao Miyazaki","2001","JAPÓ","1","0",NULL,"8"
"21","Get Out","Jordan Peele","2017","USA","0","0",NULL,"10"
"22","Liquid Sky","Slava Tsukerman","1982","USA","0","0",NULL,"10"
"23","The Love Witch","Anna Biller","2016","USA","0","1",NULL,"10"
"24","Orlando","Sally Potter","1992","UK","0","1",NULL,"4"
"25","Mystery Train","Jim Jarmusch","1989","USA","0","0",NULL,"8"
"26","Amanece Que No Es Poco","José Luis Cuerda","1989","ESPANYA","0","0","1","8"
"27","Paradise Hills","Alice Waddington","2019","USA","0","1","0","8"
"28","Broken Flowers","Jim Jarmusch","2005","USA","0","0","0","8"
"29","Buffalo 66","Vincent Gallo","1998","USA","0","0","0","7"
"30","Down By Law","Jim Jarmusch","1986","USA","0","0","0","7"
"31","The Room","Tommy Wiseau","2003","USA","0","0","0","10"
"32","Cidade De Deus","Fernando Meirelles","2002","BRASIL","0","0","0","9"
"33","[•REC]","Jaume Balagueró, Paco Plaza","2007","ESPANYA","0","0","0","7"
"34","Shaun Of The Dead","Edgar Wright","2004","UK","0","0","1","9"
"35","The World's End","Edgar Wright","2013","UK","0","0","1","8"
"36","The Pillow Book","Peter Greenaway","1996","UK","0","0","0","7"
"37","District 9","Neill Blomkamp","2009","ÀFRICA DEL SUD","0","0","0","7"
"38","A Girl Walks Home Alone At Night","Ana Lily Amirpour","2014","IRAN","0","1","0","7"
"39","Love And Death","Woody Allen","1975","USA","0","0","1","10"
"40","Pepi, Luci, Bom Y Otras Chicas Del Montón","Pedro Almodóvar","1980","ESPANYA","0","0","1","8"
"41","Drowning By Numbers","Peter Greenaway","1988","UK","0","0","0","7"
"42","What We Do In The Shadows","J. Clement, T. Waititi","2014","NOVA ZELANDA","0","0","1","10"
"43","Gimme Shelter","Maysles, Maysles & Zwerin","1970","USA","0","0","0","7"
"44","The Death Of Stalin","Armando Iannucci","2017","USA","0","0","1","7"
"45","The Big Lebowsky","Joel Coen","1998","USA","0","0","1","9"
"46","Violet","Justine Bateman","2021","USA","0","1","0","9"
"47","The Lobster","Yorgos Lanthimos","2015","UK","0","0","0","9"
"48","Interview With The Vampire","Neil Jordan","1994","USA","0","0","0","7"
"49","Laberinto De Pasiones","Pedro Almodóvar","1982","ESPANYA","0","0","1","9"
"50","Annie Hall","Woody Allen","1977","USA","0","0","0","8"
"51","Manhattan","Woody Allen","1979","USA","0","0","0","8"
"52","Zelig","Woody Allen","1983","USA","0","0","1","10"
"53","Hannah And Her Sisters","Woody Allen","1986","USA","0","0","0","9"
"54","Crimes And Misdemeanors","Woody Allen","1989","USA","0","0","0","7"
"55","Manhattan Murder Mystery","Woody Allen","1996","USA","0","0","0","7"
"56","Otto E Mezzo","Federico Fellini","1963","ITÀLIA","0","0","0","10"
"57","Satyricon","Federico Fellini","1963","ITÀLIA","0","0","0","9"
"58","Roma","Federico Fellini","1972","ITÀLIA","0","0","0","7"
"59","Amarcord","Federico Fellini","1973","ITÀLIA","0","0","0","7"
"60"," Il Casanova","Federico Fellini","1976","ITÀLIA","0","0","0","10"
"61","Edipo Re","Pier Paolo Pasolini","1967","ITÀLIA","0","0","0","9"
"62","Il Decameron","Pier Paolo Pasolini","1971","ITÀLIA","0","0","0","8"
"63","I Racconti Di Canterbury","Pier Paolo Pasolini","1972","ITÀLIA","0","0","0","8"
"64","Il Fiore Delle Mille E Una Notte","Pier Paolo Pasolini","1974","ITÀLIA","0","0","0","8"
"65","O Brother, Where Art Thou?","Joel Coen","2000","USA","0","0","1","8"
"66","Apocalypse Now","Francis Ford Coppola","1979","USA","0","0","0","9"
"67","Tonari No Totoro","Hayao Miyazaki","1988","JAPÓ","1","0","0","9"
